Inner Radius (mm), Outer Radius (mm), Disk Thicknes (mm), Force (N), N. Disks, Mass (kg), Stopping Time (s)
71.0,91.0,1.5,1000.0,3.0,0.47636597724912744,11.508375081604525
80.0,105.0,1.5,1000.0,9.0,1.6999943246737768,3.413826439646732
70.0,90.0,1.5,1000.0,4.0,0.5881061447520093,8.788789214010103
80.0,101.0,1.5,1000.0,3.0,0.5588478640505968,10.332274443151492
80.0,101.0,1.5,1000.0,4.0,0.6985598300632461,7.791136006518586
70.0,90.0,1.5,1000.0,5.0,0.7057273737024111,7.056875472633802
71.0,91.0,1.5,1000.0,6.0,0.833640460185973,5.824010150031013
80.0,100.0,1.5,1000.0,5.0,0.7939432954152126,6.289792766247159
75.0,95.0,1.5,1000.0,3.0,0.4998902230392078,10.984178936154574
77.0,97.0,1.5,1000.0,3.0,0.511652345934248,10.739509371331218
80.0,100.0,1.5,1000.0,6.0,0.9262671779844147,5.2529670433959845
79.0,99.0,1.5,1000.0,9.0,1.3085361720732205,3.553673594489515
73.0,93.0,1.5,1000.0,3.0,0.48812810014416774,11.240199438543307
76.0,96.0,1.5,1000.0,4.0,0.63221410560841,8.191694184939209
79.0,99.0,1.5,1000.0,4.0,0.6542680860366102,7.92244319622171
79.0,99.0,1.5,1000.0,3.0,0.5234144688292882,10.50545561566452
71.0,91.0,1.5,1000.0,7.0,0.9527319544982549,5.000677177821241
71.0,91.0,1.5,1000.0,4.0,0.5954574715614093,8.683332467888404
73.0,93.0,1.5,1000.0,4.0,0.6101601251802096,8.479796163547105
74.0,94.0,1.5,1000.0,9.0,1.2350229039792195,3.761625837009611
71.0,91.0,1.5,1000.0,9.0,1.1909149431228185,3.8984416232813928
80.0,103.0,1.5,1000.0,9.0,1.5470867270382542,3.4536683944091946
76.0,96.0,1.5,1000.0,9.0,1.26442821121682,3.675604346363837
72.0,92.0,1.5,1000.0,3.0,0.4822470386966476,11.372714688635753
74.0,94.0,1.5,1000.0,7.0,0.9880183231833756,4.825570544054329
71.0,91.0,1.5,1000.0,8.0,1.0718234488105367,4.381298528613005
76.0,96.0,1.5,1000.0,7.0,1.0115425689734558,4.7154595121600495
76.0,96.0,1.5,1000.0,5.0,0.7586569267300918,6.575801523825416
78.0,98.0,1.5,1000.0,5.0,0.7763001110726524,6.42963213498131
79.0,99.0,1.5,1000.0,8.0,1.1776825548658987,3.994186165449918
75.0,95.0,1.5,1000.0,6.0,0.8748078903186137,5.5556610892465885
76.0,96.0,1.5,1000.0,6.0,0.8850997478517738,5.492376050252713
72.0,92.0,1.5,1000.0,7.0,0.9644940773932952,4.940920235629086
74.0,94.0,1.5,1000.0,4.0,0.6175114519896098,8.381547433466254
75.0,95.0,1.5,1000.0,4.0,0.6248627787990098,8.285538562299607
73.0,93.0,1.5,1000.0,8.0,1.0982882253243773,4.277686113356023
74.0,94.0,1.5,1000.0,8.0,1.1115206135812974,4.227687368802967
71.0,91.0,1.5,1000.0,5.0,0.7145489658736911,6.971892476932307
80.0,102.0,1.5,1000.0,9.0,1.4717356272419033,3.473861809525021
76.0,96.0,1.5,1000.0,8.0,1.1379853900951378,4.13110036348768
72.0,92.0,1.5,1000.0,5.0,0.7233705580449714,6.888921616792742
77.0,97.0,1.5,1000.0,8.0,1.1512177783520583,4.08443578686982
80.0,100.0,1.5,1000.0,4.0,0.6616194128460104,7.836567040551036
74.0,94.0,1.5,1000.0,5.0,0.7410137423875317,6.72873848402665
75.0,95.0,1.5,1000.0,5.0,0.7498353345588118,6.651395161239203
73.0,93.0,1.5,1000.0,6.0,0.8542241752522935,5.68668731111114
79.0,99.0,1.5,1000.0,5.0,0.7851217032439324,6.35894706258096
80.0,100.0,1.5,1000.0,7.0,1.0585910605536168,4.50959390884743
78.0,98.0,1.5,1000.0,6.0,0.9056834629180944,5.370016261009845
80.0,100.0,1.5,1000.0,3.0,0.5292955302768084,10.392197029717638
