Inner Radius (mm), Outer Radius (mm), Disk Thicknes (mm), Force (N), N. Disks, Mass (kg), Stopping Time (s)
80.0,90.0,1.5,1000.0,2.0,0.18745883363970295,16.344252899546277
80.0,110.0,1.5,1000.0,9.0,2.0951281406790327,3.317331881291514
80.0,93.0,1.5,1000.0,2.0,0.24799700991511292,16.059016922159064
80.0,90.0,1.5,1000.0,3.0,0.2499451115196039,11.02127094066658
80.0,90.0,1.5,1000.0,4.0,0.3124313893995049,8.313679189138618
80.0,92.0,1.5,1000.0,3.0,0.3034627706920368,10.891038736059603
80.0,90.0,1.5,1000.0,5.0,0.3749176672794059,6.674064189553887
80.0,91.0,1.5,1000.0,4.0,0.34569614321204045,8.264065568120339
80.0,90.0,1.5,1000.0,6.0,0.43740394515930686,5.574639662769409
80.0,91.0,1.5,1000.0,5.0,0.4148353718544485,6.634097685329251
80.0,90.0,1.5,1000.0,7.0,0.4998902230392078,4.786204019921881
80.0,91.0,1.5,1000.0,6.0,0.48397460049685664,5.541179795771352
80.0,91.0,1.5,1000.0,7.0,0.5531138291392647,4.757429010055647
80.0,90.0,1.5,1000.0,8.0,0.5623765009191088,4.193155271950061
80.0,90.0,1.5,1000.0,9.0,0.6248627787990098,3.730870714711244
80.0,91.0,1.5,1000.0,8.0,0.6222530577816728,4.167914441226789
80.0,91.0,1.5,1000.0,2.0,0.20741768592722426,16.24836613086602
80.0,92.0,1.5,1000.0,2.0,0.2275970780190276,16.153288602791243
80.0,108.0,1.5,1000.0,9.0,1.9348692162341106,3.355403924144981
80.0,107.0,1.5,1000.0,9.0,1.855842453033059,3.3747013379383515
80.0,106.0,1.5,1000.0,9.0,1.7775508225129482,3.394175014809138
80.0,105.0,1.5,1000.0,9.0,1.6999943246737768,3.413826439646732
80.0,104.0,1.5,1000.0,9.0,1.6231729595155455,3.433657082072825
80.0,103.0,1.5,1000.0,9.0,1.5470867270382542,3.4536683944091946
80.0,101.0,1.5,1000.0,9.0,1.3971196601264921,3.4942387385575477
80.0,100.0,1.5,1000.0,9.0,1.323238825692021,3.514800568499565
80.0,99.0,1.5,1000.0,9.0,1.2500931239384896,3.5355486596469494
80.0,98.0,1.5,1000.0,9.0,1.1776825548658987,3.55648434289911
80.0,91.0,1.5,1000.0,3.0,0.27655691456963233,10.955874531685502
80.0,94.0,1.5,1000.0,9.0,0.895391605384934,3.6421284216279397
80.0,93.0,1.5,1000.0,9.0,0.826656699717043,3.664020790911227
80.0,92.0,1.5,1000.0,9.0,0.7586569267300921,3.6861079487110104
80.0,91.0,1.5,1000.0,9.0,0.6913922864240809,3.7083909305545517
80.0,109.0,1.5,1000.0,9.0,2.014631112116102,3.3362812751896014
80.0,102.0,1.5,1000.0,9.0,1.4717356272419033,3.473861809525021
80.0,97.0,1.5,1000.0,9.0,1.1060071184742473,3.577608916904909
80.0,96.0,1.5,1000.0,9.0,1.0350668147635362,3.598923645046248
80.0,95.0,1.5,1000.0,9.0,0.9648616437337652,3.620429752251168
80.0,90.0,1.5,990.0,2.0,0.18745883363970295,16.50366960573117
79.0,110.0,1.5,1000.0,9.0,2.1535711888137636,3.3326042568848373
80.0,93.0,1.5,990.0,2.0,0.24799700991511292,16.21574883384894
80.0,90.0,1.5,990.0,3.0,0.2499451115196039,11.1300153499843
80.0,92.0,1.5,990.0,3.0,0.3034627706920368,10.9985283108975
80.0,90.0,1.5,990.0,4.0,0.3124313893995049,8.39618671853621
80.0,91.0,1.5,990.0,4.0,0.34569614321204045,8.346089429463296
80.0,90.0,1.5,990.0,5.0,0.3749176672794059,6.7405322206307225
80.0,93.0,1.5,990.0,6.0,0.5786596898019302,5.529800007434214
80.0,92.0,1.5,1000.0,8.0,0.6827912340570829,4.142894293375633
80.0,91.0,1.5,990.0,9.0,0.6913922864240809,3.745557106049744
79.0,90.0,1.5,1000.0,6.0,0.47831407885361854,5.605808264629671
